Project ID,State,District,MP Name,Project Name,Category,Cost (INR),Funds Released (INR),Sanction Date,Completion Status,Physical Completion (%),Implementing Agency,Vendor Name,Target Beneficiary,Latitude,Longitude
MPLAD-MA-2023-1001,Maharashtra,Pune,Prakash Patil,Establishment of digital computer lab with 15 workstations in public school in Pune,Education (School infrastructure/Libraries),1900000,1900000,2023-12-27,Completed,100,Thane District Collectorate,Siddharth Construction Group,General,19.67654,72.56082
MPLAD-MA-2026-1002,Maharashtra,Nashik,Prakash Patil,Provision of modern bio-toilets in public high school premises in Nashik,Sanitation & Public Health,1700000,0,2026-03-31,Sanctioned but not started,0,PWD Pune Division,Siddharth Construction Group,Scheduled Tribe (ST),18.94965,73.93482
MPLAD-MA-2024-1003,Maharashtra,Nagpur,Anil Gawde,Procurement and supply of critical care medical equipment for primary health center in Nagpur,Public Health (Hospitals/Clinics),3900000,3900000,2024-04-22,Completed,100,MHADA,Pioneer Engineering,General,18.02075,72.76644
MPLAD-MA-2025-1004,Maharashtra,Thane,Prakash Patil,Supply and installation of integrated solar-powered LED street lights in dark spots in Thane,Non-conventional Energy (Solar lights),1000000,1000000,2025-05-05,Completed,100,PWD Pune Division,Sai Ram Constructions,General,19.42138,74.4892
MPLAD-MA-2025-1005,Maharashtra,Mumbai Suburban,Prakash Patil,Upgradation of sanitation facilities and public latrines in commercial market in Mumbai Suburban,Sanitation & Public Health,1900000,1900000,2025-06-10,Completed,100,Nashik Zilla Parishad,Global Contracting & Co.,General,19.11372,72.43747
MPLAD-MA-2024-1006,Maharashtra,Nagpur,Sanjay Shinde,Construction of additional classrooms in government higher secondary school in Nagpur,Education (School infrastructure/Libraries),2700000,2700000,2024-12-21,Completed,100,PWD Pune Division,Vardhan Infrastructure & Sons,General,19.50233,72.78796
MPLAD-MA-2024-1007,Maharashtra,Thane,Sunita Deshmukh,Upgradation of sanitation facilities and public latrines in commercial market in Thane,Sanitation & Public Health,3000000,3000000,2024-05-16,Completed,100,Thane District Collectorate,Siddharth Construction Group,General,17.73443,73.68678
MPLAD-MA-2023-1008,Maharashtra,Thane,Rahul Naik,Development of public sports playground with jogging track and fencing in Thane,Sports Infrastructure (Playgrounds/Gyms),1700000,1700000,2023-08-05,Completed,100,Nagpur Municipal Corporation,Pioneer Engineering,Scheduled Caste (SC),17.80322,72.93295
MPLAD-MA-2025-1009,Maharashtra,Mumbai Suburban,Sanjay Shinde,Construction of concrete boundary wall around central public burial ground in Mumbai Suburban,Community Assets (Halls/Shelters),4300000,1720000,2025-12-26,In Progress,46,Nagpur Municipal Corporation,Global Contracting & Co.,General,19.23497,73.91693
MPLAD-MA-2024-1010,Maharashtra,Mumbai Suburban,Anil Gawde,Setting up of centralized solar micro-grid for rural electrification in Mumbai Suburban,Non-conventional Energy (Solar lights),800000,800000,2024-03-10,Completed,100,MHADA,Elite Infrastructure Group,General,17.27273,72.44135
MPLAD-MA-2025-1011,Maharashtra,Pune,Sunita Deshmukh,Procurement of portable solar lanterns for high-altitude village hamlets in Pune,Non-conventional Energy (Solar lights),600000,600000,2025-07-28,Completed,100,Nagpur Municipal Corporation,Om Shanti Developers,General,19.98836,73.88734
