rule_id,project_id,triggered,severity,observed_value,threshold,exception_applied,explanation,source_version,timestamp
INC-01,P1000,True,high,project_description,N/A (keyword match),False,Operation/maintenance type work detected via keyword match on 'project_description'. PROTOTYPE STOPGAP ONLY — spec requires category/ownership/funding-source metadata instead of free-text matching; treat as low-confidence until structured fields are available.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
INC-01,P1001,True,high,project_description,N/A (keyword match),False,Operation/maintenance type work detected via keyword match on 'project_description'. PROTOTYPE STOPGAP ONLY — spec requires category/ownership/funding-source metadata instead of free-text matching; treat as low-confidence until structured fields are available.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
INC-03,P1002,True,high,project_description,N/A (keyword match),False,Land acquisition / acquisition-related expenditure detected via keyword match on 'project_description'. PROTOTYPE STOPGAP ONLY — spec requires category/ownership/funding-source metadata instead of free-text matching; treat as low-confidence until structured fields are available.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
INC-07,P1000,True,high,project_description,N/A (keyword match),False,Religious-use work detected via keyword match on 'project_description'. PROTOTYPE STOPGAP ONLY — spec requires category/ownership/funding-source metadata instead of free-text matching; treat as low-confidence until structured fields are available.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
SC_001,MP_YEAR:MP7,True,high,0.0659,0.15,False,SC allocation 6.6% of sanctioned funds is below the 15% threshold. No documented exception on file — needs manual exception check before treating as confirmed non-compliance.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:56+00:00
SC_001,MP_YEAR:MP8,True,high,0.1173,0.15,False,SC allocation 11.7% of sanctioned funds is below the 15% threshold. No documented exception on file — needs manual exception check before treating as confirmed non-compliance.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:56+00:00
ST_001,MP_YEAR:MP1,True,high,0.0308,0.075,False,ST allocation 3.1% of sanctioned funds is below the 7.5% threshold. No documented exception on file — needs manual exception check before treating as confirmed non-compliance.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:56+00:00
ST_001,MP_YEAR:MP3,True,high,0.0,0.075,False,ST allocation 0.0% of sanctioned funds is below the 7.5% threshold. No documented exception on file — needs manual exception check before treating as confirmed non-compliance.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:56+00:00
ST_001,MP_YEAR:MP4,True,high,0.0729,0.075,False,ST allocation 7.3% of sanctioned funds is below the 7.5% threshold. No documented exception on file — needs manual exception check before treating as confirmed non-compliance.,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:56+00:00
FIN-001,P1023,True,medium,2329202.39,574766.7,False,"sanctioned_amount is 4.1x the Education category median (₹574,767). Flagged by z-score 5.2, IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1095,True,medium,283495.81,574766.7,False,"sanctioned_amount is 0.5x the Education category median (₹574,767). Flagged by IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1083,True,medium,185700.66,282586.06,False,"sanctioned_amount is 0.7x the Electrification category median (₹282,586). Flagged by IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1113,True,medium,186737.65,282586.06,False,"sanctioned_amount is 0.7x the Electrification category median (₹282,586). Flagged by IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1072,True,medium,3113797.04,810443.1,False,"sanctioned_amount is 3.8x the Health category median (₹810,443). Flagged by z-score 4.0, IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1012,True,medium,6274761.44,1208860.94,False,"sanctioned_amount is 5.2x the Roads category median (₹1,208,861). Flagged by z-score 4.3, IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1026,True,medium,4432660.72,1208860.94,False,"sanctioned_amount is 3.7x the Roads category median (₹1,208,861). Flagged by z-score 2.6, IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1041,True,medium,1472321.08,414605.0,False,"sanctioned_amount is 3.6x the Sanitation category median (₹414,605). Flagged by IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
FIN-001,P1047,True,medium,1985760.06,414605.0,False,"sanctioned_amount is 4.8x the Sanitation category median (₹414,605). Flagged by z-score 3.7, IQR bound exceeded.",SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1000,True,medium,97,45,False,Sanction took 97 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1009,True,medium,72,45,False,Sanction took 72 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1026,True,medium,77,45,False,Sanction took 77 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1038,True,medium,53,45,False,Sanction took 53 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1050,True,medium,100,45,False,Sanction took 100 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1066,True,medium,68,45,False,Sanction took 68 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1072,True,medium,54,45,False,Sanction took 54 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1084,True,medium,105,45,False,Sanction took 105 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
TIME-01,P1089,True,medium,86,45,False,Sanction took 86 days from recommendation (limit: 45 days).,SIH26102_Architecture_Rules_Roadmap_v1.0_2026-08-29,2026-08-29T18:14:57+00:00
